"attribute","kind","strength","coverage","family"
"pct_us","continuous",0.674,1,"geography"
"med_cap","continuous",0.539,0.999,"size"
"mgr_entity_proper_name","categorical",0.538,0.925,"artifact"
"fs_ultimate_parent_entity_id","categorical",0.506,0.813,"artifact"
"relative_strength","continuous",0.449,0.926,"strategy"
"country_desc","categorical",0.357,0.811,"geography"
"pb_ratio","continuous",0.342,0.926,"strategy"
"style_any","categorical",0.269,0.975,"strategy"
"invt_obj_region_code","categorical",0.252,0.783,"geography"
"investor_type","categorical",0.234,1,"vehicle"
"invt_obj_specialization_code","categorical",0.231,0.851,"sector"
"invt_obj_asset_type_code","categorical",0.192,0.85,"vehicle"
"fund_type_desc","categorical",0.182,0.948,"vehicle"
"pe_ratio","continuous",0.131,0.926,"strategy"
"turnover_any","categorical",0.101,0.981,"strategy"
"aum_any","continuous",0.079,0.51,"size"
"pct_top_sec","continuous",0.076,1,"sector"
"sales_growth","continuous",0.072,0.926,"strategy"
"n_assets_full","continuous",0.063,1,"strategy"
"dividend_yield","continuous",0.047,0.926,"strategy"
"beta","continuous",0.001,0.926,"strategy"
"price_momentum","continuous",0.001,0.926,"strategy"
