"attribute","kind","strength","coverage","family"
"med_cap","continuous",0.677,0.999,"size"
"mgr_entity_proper_name","categorical",0.587,0.925,"artifact"
"fs_ultimate_parent_entity_id","categorical",0.555,0.813,"artifact"
"pct_us","continuous",0.538,1,"geography"
"relative_strength","continuous",0.495,0.926,"strategy"
"country_desc","categorical",0.449,0.811,"geography"
"pb_ratio","continuous",0.335,0.926,"strategy"
"invt_obj_region_code","categorical",0.329,0.783,"geography"
"style_any","categorical",0.282,0.975,"strategy"
"invt_obj_specialization_code","categorical",0.198,0.851,"sector"
"fund_type_desc","categorical",0.179,0.948,"vehicle"
"investor_type","categorical",0.176,1,"vehicle"
"pe_ratio","continuous",0.165,0.926,"strategy"
"n_assets_full","continuous",0.155,1,"strategy"
"invt_obj_asset_type_code","categorical",0.135,0.85,"vehicle"
"turnover_any","categorical",0.111,0.981,"strategy"
"pct_top_sec","continuous",0.111,1,"sector"
"sales_growth","continuous",0.067,0.926,"strategy"
"dividend_yield","continuous",0.053,0.926,"strategy"
"aum_any","continuous",0.03,0.51,"size"
"beta","continuous",0,0.926,"strategy"
"price_momentum","continuous",0,0.926,"strategy"
